訂單時間,廠商訂單編號,綠界物流訂單編號,MID,訂單金額,收件人姓名,收件人手機 / 市話,物流廠商,服務名稱,純配送 / 貨到付款,溫層,宅配規格(長+寬+高),物流狀態,配送編號 / 托運單號,交貨便代碼 / 店到店編號,到店日期,商品重量,實際重量,初始物流運費,實際物流運費,加價費用,圈存狀態,物流費扣款日期,物流代收款項,物流代收手續費率,物流代收手續費,物流代收款項撥款金額,物流代收款項撥款日期,備註,
2024-09-30 19:06:23,h1pr00000091019359,38212464,3418108,315,Sarah Taylor,0963617773/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",包裹配達取件門市,J80425536280,SN259067,2024/10/03 09:40:06 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 19:05:04,h1pr00000031061918,38212447,3418108,565,Sarah Johnson,0992002007/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80420589277,SN932166,2024/10/02 08:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,565,0.79%,5,560,2024/10/08,,
2024-09-30 19:04:10,h1pr00000016638441,38212439,3418108,565,David Johnson,0980540817/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80417265752,SN883896,2024/10/02 05:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,565,0.79%,5,560,2024/10/08,,
2024-09-30 19:03:21,h1pr00000091948139,38212430,3418108,315,Jessica Taylor,0929593619/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80414122114,SN247875,2024/10/02 06:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 19:02:18,h1pr00000062643448,38212417,3418108,565,Emma Martin,0924268322/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",包裹配達取件門市,J80409083901,SN891618,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,565,0.79%,5,560,,,
2024-09-30 19:01:35,h1pr00000086662164,38212405,3418108,565,Michael Johnson,0913555235/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80405625431,SN720501,2024/10/03 09:40:06 AM, - , - , - ,69,0,已歸還,2024/10/08,565,0.79%,5,560,,,
2024-09-30 19:00:25,h1pr00000060564553,38212387,3418108,315,David Jackson,0929746388/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80401222214,SN728388,2024/10/02 05:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 18:58:07,h1pr00000048920415,38212352,3418108,315,Michael Brown,0922540687/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80393547050,SN758168,2024/10/02 08:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 18:57:27,h1pr00000070071591,38212341,3418108,315,Chris Anderson,0920180043/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80390942997,SN246075,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 18:56:48,h1pr00000052295737,38212331,3418108,315,Sarah Johnson,0984025920/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80387760473,SN531394,2024/10/03 01:40:06 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 18:55:08,h1pr00000018382676,38212259,3418108,315,David Harris,0973937653/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80381001927,SN419356,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 18:51:56,h1pr00000031720066,38212218,3418108,315,John Jackson,0940103745/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80367089411,SN868288,2024/10/02 05:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 18:50:57,h1pr00000096433115,38212207,3418108,315,Chris Thomas,0910878834/,7-ELEVEN(交貨便),超商門市寄/取貨,純配送,常溫,"=""",買家已到店取貨,J80362728336,SN161090,2024/10/03 10:40:05 AM, - , - , - ,69,0,已歸還,2024/10/08,0,0%,0,0,,,
2024-09-30 18:50:20,h1pr00000028041479,38212196,3418108,315,Sophia Johnson,0973361928/,7-ELEVEN(交貨便),超商門市寄/取貨,純配送,常溫,"=""",買家已到店取貨,J80361065552,SN603282,2024/10/03 10:40:05 AM, - , - , - ,69,0,已歸還,2024/10/08,0,0%,0,0,,,
2024-09-30 18:48:08,h1pr00000050909075,38212099,3418108,315,Sarah White,0911395394/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",包裹配達取件門市,J80352478197,SN197009,2024/10/03 06:40:04 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 18:47:25,h1pr00000047604869,38212080,3418108,315,David Smith,0931780407/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80349290085,SN954683,2024/10/02 06:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 18:46:36,h1pr00000074129049,38212067,3418108,315,Emma Martin,0923198378/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80346505623,SN452497,2024/10/02 08:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 18:45:39,h1pr00000065858525,38212048,3418108,315,John Smith,0918865802/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80342948695,SN783157,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 18:44:51,h1pr00000046965479,38212014,3418108,315,Sophia Anderson,0931235965/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80339619609,SN103530,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 18:44:01,h1pr00000013362472,38212000,3418108,315,Emma Taylor,0929499348/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80336729494,SN337436,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 18:42:48,h1pr00000076815316,38211971,3418108,315,David White,0927159022/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",包裹配達取件門市,J80330821226,SN710208,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 18:40:19,h1pr00000054038048,38211933,3418108,315,Sophia Smith,0999325366/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80322129188,SN111299,2024/10/02 05:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
