匯入單號,自訂編號,客戶編號,統一編號,客戶名稱,客戶地址,客戶手機號碼,客戶電子信箱,課稅別,發票金額,發票捐贈,發票捐贈代碼,載具類別,載具編號,列印註記,備註,字軌類別,商品名稱,購買數量,商品單位,單價,商品備註,經海註記,特種稅額類別,商品課稅別
10,,,,,,,,,,,,,,,,,Chelsea Sakura Polaroid,1,,,,,,
10,,,,,,,,,,,,,,,,,運費,1,,,,,,
11,h1pr00000016638441,,,David Johnson,,,michael.martin6837@gmail.com,1.0,565,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,2,,,,,,
11,,,,,,,,,,,,,,,,,運費,1,,,,,,
12,h1pr00000091948139,,,Jessica Taylor,,,michael.jackson9607@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
12,,,,,,,,,,,,,,,,,運費,1,,,,,,
13,h1pr00000062643448,,,Emma Martin,,,emma.harris6104@gmail.com,1.0,565,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
13,,,,,,,,,,,,,,,,,Catherine Sakura Polaroid,1,,,,,,
13,,,,,,,,,,,,,,,,,運費,1,,,,,,
14,h1pr00000086662164,,,Michael Johnson,,,emma.anderson2539@gmail.com,1.0,565,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
14,,,,,,,,,,,,,,,,,Catherine Sakura Polaroid,1,,,,,,
14,,,,,,,,,,,,,,,,,運費,1,,,,,,
15,h1pr00000060564553,,,David Jackson,,,chris.thomas2987@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
15,,,,,,,,,,,,,,,,,運費,1,,,,,,
16,h1pr00000048920415,,,Michael Brown,,,chris.smith7117@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
16,,,,,,,,,,,,,,,,,運費,1,,,,,,
17,h1pr00000070071591,,,Chris Anderson,,,daniel.thomas6351@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
17,,,,,,,,,,,,,,,,,運費,1,,,,,,
18,h1pr00000052295737,,,Sarah Johnson,,,daniel.smith1565@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
18,,,,,,,,,,,,,,,,,運費,1,,,,,,
19,h1pr00000018382676,,,David Harris,,,michael.thomas8004@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
19,,,,,,,,,,,,,,,,,運費,1,,,,,,
20,h1pr00000031720066,,,John Jackson,,,jessica.taylor7249@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
20,,,,,,,,,,,,,,,,,運費,1,,,,,,
21,h1pr00000096433115,,,Chris Thomas,,,sarah.johnson3263@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
21,,,,,,,,,,,,,,,,,運費,1,,,,,,
22,h1pr00000028041479,,,Sophia Johnson,,,michael.white9292@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
22,,,,,,,,,,,,,,,,,運費,1,,,,,,
23,h1pr00000050909075,,,Sarah White,,,john.smith8005@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
23,,,,,,,,,,,,,,,,,運費,1,,,,,,
24,h1pr00000047604869,,,David Smith,,,john.harris6345@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
24,,,,,,,,,,,,,,,,,運費,1,,,,,,
25,h1pr00000074129049,,,Emma Martin,,,jessica.thomas5139@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
25,,,,,,,,,,,,,,,,,運費,1,,,,,,
26,h1pr00000065858525,,,John Smith,,,jessica.harris752@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
26,,,,,,,,,,,,,,,,,運費,1,,,,,,
27,h1pr00000046965479,,,Sophia Anderson,,,sophia.harris6861@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
27,,,,,,,,,,,,,,,,,運費,1,,,,,,
28,h1pr00000013362472,,,Emma Taylor,,,daniel.brown2496@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
28,,,,,,,,,,,,,,,,,運費,1,,,,,,
29,h1pr00000076815316,,,David White,,,emily.brown1713@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
29,,,,,,,,,,,,,,,,,運費,1,,,,,,
30,h1pr00000054038048,,,Sophia Smith,,,sophia.white1105@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
30,,,,,,,,,,,,,,,,,運費,1,,,,,,
31,h1pr00000059303075,,,Sophia Taylor,,,david.martin7127@gmail.com,1.0,320,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
31,,,,,,,,,,,,,,,,,運費,1,,,,,,
32,h1pr00000062432193,,,Sarah Anderson,,,emily.white6660@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
32,,,,,,,,,,,,,,,,,運費,1,,,,,,
